phonenumber,district,ward,village,sub_village,ppid,forum,cinema,posters,leaflets,none,mostmeans,knwdbnow,cannowcomdog,cannowrecdogcom,q007,q0071,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0079,q00710,q00711,q00712,q00713,q00714,q00715,q00716,q00717,q00718,q00719,q00720,q00721,bodilangscorenow,ratecatcdognow,easycatcdognow,knwcatcdognow,easyholddognow,crrctcalmdognow,crrctsmlldognow,crrctbigdognow,avoidatacknow,q016,q0161,q0162,q0163,q0164,q0165,q0166,q0167,q0168,q0169,q01610,q01611,avoidatackscorenow,q01696,q016_specify,limitinjurynow,q018,q0181,q0182,q0183,q0184,q0185,limitinjuryscorenow,q01896,q018_specify,q019,q020,q021,q022,q023
,RORYA,KYANGASAGA,GABIMORI,BUHARE,1,0,1,0,0,0,2,4,4,4,1 2 3 20 21 19 18 17 16 15 14 13 12 11,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,14,4,4,3,4,2,2,3,4,2 4 3 5 10,0,1,1,1,1,0,0,0,0,1,0,5,0,,4,5 4 3 2,0,1,1,1,1,4,No,,0,0,0,0,1
,RORYA,KYANGASAGA,GABIMORI,BUHARE,2,1,1,1,0,0,2,4,3,3,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,4,3,2,3,2,2,2,4,2 3 4 5 6 7,0,1,1,1,1,1,1,0,0,0,0,6,0,,3,2 5 4,0,1,0,1,1,3,No,,0,0,0,0,1
,RORYA,KYANGASAGA,GABIMORI,BUHARE,3,0,1,0,0,0,2,4,4,4,3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,18,4,3,2,4,3,3,3,4,2 4 5 6 7 8 9 10,0,1,0,1,1,1,1,1,1,1,0,8,0,,3,2 5 4,0,1,0,1,1,3,No,,0,0,0,0,1
,RORYA,KYANGASAGA,GABIMORI,BUHARE,4,0,1,1,0,0,2,4,3,3,3 4 5 6 7 10 9 11 12 13 14 15 17 18 19 20 21,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,17,4,4,2,4,2,2,2,4,2 3 4 7 6 8 10,0,1,1,1,0,1,1,1,0,1,0,7,0,,4,2 5 4,0,1,0,1,1,3,No,,0,0,0,0,1
,RORYA,KYANGASAGA,GABIMORI,BUHARE,5,0,1,1,1,0,2,4,4,4,2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 19 20 21,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,18,4,4,3,4,3,3,3,4,2 3 4 5 6 7 8 10,0,1,1,1,1,1,1,1,0,1,0,8,0,,4,2 5 4,0,1,0,1,1,3,No,,0,0,0,0,1
,RORYA,KYANGASAGA,GABIMORI,BUHARE,6,0,1,0,0,0,3,4,4,4,2 3 4 5 6 7 8 9 10 11 12 13 20 19 18 17 16 15 21,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,4,4,3,4,3,3,2,4,2 3 4 5 6 7 8 9 10 11,0,1,1,1,1,1,1,1,1,1,1,10,0,,4,1 2 3 5,1,1,1,0,1,4,No,,0,0,0,0,1
,RORYA,KYANGASAGA,GABIMORI,BUHARE,7,0,1,1,0,0,2,3,3,3,2 3 4 6 5 7 8 9 10 11 12 13 14 15 17 18 19 20 21,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,19,4,4,2,4,3,3,3,4,2 3 4 5 6,0,1,1,1,1,1,0,0,0,0,0,5,0,,4,2 5 4,0,1,0,1,1,3,No,,0,0,0,0,1
,RORYA,KYANGASAGA,GABIMORI,BUHARE,8,0,1,0,0,0,2,4,4,4,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,4,4,3,4,3,3,3,4,1 2 3 4 5 6 7 8 9 10,1,1,1,1,1,1,1,1,1,1,0,10,0,,3,2 5 4,0,1,0,1,1,3,No,,0,0,0,0,0
,RORYA,KYANGASAGA,GABIMORI,BUHARE,9,0,1,1,1,0,2,3,4,4,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,4,4,3,4,3,3,3,4,2 1 3 4 5 9 10,1,1,1,1,1,0,0,0,1,1,0,7,0,,4,1 5 4 3 2,1,1,1,1,1,5,No,,0,0,0,0,1
,RORYA,KYANGASAGA,KYANGASAGA,KYAGASAGA,10,0,0,0,0,1,5,2,3,3,21 20 19 18 17 7 9 12 13 14,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,10,3,3,2,3,2,2,2,3,96,0,0,0,0,0,0,0,0,0,0,0,0,1,Nammwangia mchanga,3,1,1,0,0,0,0,1,No,,0,0,0,0,1
